time,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,p,q,r,x_ref,y_ref,z_ref,ctrl_thrust,ctrl_roll,ctrl_pitch,gust_active
9.928,78.10317000822528,-0.295335810242869,1.3442448240308176,38.394505476619656,-4.504091844884211,2.1185600265797677,-158.26890668866662,-15.660295679610103,18.855672118369572,-2.596626429284568,-33.01689946123896,0.04207328225073023,3.0,0.0,1.0,0.0,1.0,1.0,0
9.936,78.40949121187133,-0.33172029518303137,1.3671660407329451,38.29015045575652,-4.548060617520302,2.8651520877659507,-158.5287687860695,-1.5472054299409537,24.45057375854043,1.2670444657719564,-33.05892478984115,0.07648795126070962,3.0,0.0,1.0,0.0,1.0,1.0,0
9.944,78.71671995829597,-0.36779542326553183,1.3962706316785685,38.403593303080825,-4.509391010312554,3.6380738682029055,-155.6188348553084,12.249305238474506,30.264036024797125,5.1267523920885,-32.63100831317376,0.05660270998478091,3.0,0.0,1.0,0.0,1.0,1.0,0
9.952,79.02653319737323,-0.4029050349130499,1.4311222729871897,38.72665488465764,-4.388701455939761,4.3564551635776585,-149.20396223448475,25.156628738005978,37.36948694154957,8.938486874356563,-31.744630592850644,-0.016670609393004576,3.0,0.0,1.0,0.0,-1.0,1.0,0
9.96,79.3403571305947,-0.4365382362852863,1.4707170528584892,39.22799165268473,-4.204150171529553,4.949347483912425,-138.46269916791366,36.397712188510205,46.98796174028537,12.563290861988477,-30.411938536734702,-0.13956029571678769,3.0,0.0,1.0,0.0,-1.0,1.0,0
9.968,79.65919447433006,-0.46827960524470236,1.513727454212155,39.854667966920864,-3.967671119927004,5.3763001692082275,-122.37682952073195,44.84954750630814,60.275803271538365,16.04832960088173,-28.660723082162956,-0.3043924013772439,3.0,0.0,1.0,0.0,-1.0,1.0,0
9.976,79.98366324885852,-0.49788432031517205,1.5586720092007145,40.558596816057616,-3.7005893838087096,5.61806937356992,-101.21768556163607,49.18310938526152,76.96368059952346,19.348946934833727,-26.51482981426382,-0.5025151347422399,3.0,0.0,1.0,0.0,-1.0,1.0,0
9.984,80.31406509749316,-0.5252766777472813,1.6040347554235141,41.3002310793293,-3.4240446790136514,5.670343277849951,-78.2092578730285,48.793446836419925,93.73807807196427,22.42780233606471,-24.002099301271084,-0.7234227479285895,3.0,0.0,1.0,0.0,-1.0,1.0,0
9.992,80.6504452728527,-0.5505348242329845,1.6482886235526693,42.0475219199437,-3.1572683107129076,5.531733516144375,-57.23478935130493,44.69967478372142,106.572537308824,25.25218849496153,-21.142433069536228,-0.9553197128834783,3.0,0.0,1.0,0.0,-1.0,1.0,0
10.0,80.99257471548852,-0.5738907832802845,1.6898847557690662,42.76618032947574,-2.9194948809125094,5.1995165270496155,-39.317714903456086,38.818675049441886,114.30436985855283,27.782484343932772,-17.952604271858295,-1.1855161133589072,3.0,0.0,1.0,1.0,-1.0,1.0,0
10.008000000000001,81.33949385860484,-0.5956510806551496,1.7275915472949828,43.36489288954125,-2.7200371718581304,4.713348940739588,-23.47107649565341,32.84012818732108,117.87571552806953,29.970230140554467,-14.456111894082484,-1.400924238806815,3.0,0.0,1.0,1.0,-1.0,1.0,0
10.016,81.69028683423024,-0.6163131864944614,1.7601432158171026,43.84912195317398,-2.5827632299139776,4.068958565264982,-8.514322155171307,27.943737120707386,118.62659267896683,31.78130780266339,-10.686882082908419,-1.58858145703796,3.0,0.0,1.0,1.0,-1.0,1.0,0
10.024000000000001,82.04362744769065,-0.6364978497876109,1.7866136691194747,44.16757668255309,-2.5230829116436913,3.3088066627964974,6.321119483208382,24.868119259616357,117.80618758007161,33.15376736374479,-6.6975383759890414,-1.736500777506025,3.0,0.0,1.0,1.0,-1.0,1.0,0
10.032,82.39787675808776,-0.6568356633003144,1.806595570902123,44.28116379963834,-2.5422266890879297,2.497737722831041,21.434344527213806,23.951853965301044,116.60939051397087,34.04928524623925,-2.5186097957488744,-1.834455371787367,3.0,0.0,1.0,1.0,-1.0,0.6405235741698996,0
10.040000000000001,82.75130479569626,-0.677946576451372,1.8202543712588843,44.178504701061435,-2.638864143882205,1.7073500445951582,37.05781433184286,25.071638396340823,116.21967029481993,34.43667879962202,1.7591679478243947,-1.874477572758765,3.0,0.0,1.0,0.0,-1.0,-1.0,0
10.048,83.10201918866586,-0.7007585183400503,1.8279003854075908,43.839299121201584,-2.851492736084786,0.9557517685883162,53.448357190263714,27.605040806955227,117.72979132462433,34.28928553314066,6.0066067105495,-1.852284941162215,3.0,0.0,1.0,0.0,-1.0,-1.0,0
10.056000000000001,83.44835492576891,-0.7258254204060351,1.8308092883455764,43.29196713788137,-3.1333627582481034,0.3636128672482143,70.94483624809267,30.500448179294,122.02568676514205,33.59780960995973,10.223066301732452,-1.7682477975769402,3.0,0.0,1.0,0.0,-1.0,-1.0,0
10.064,83.78903604773417,-0.7535020906537889,1.8308223577621012,42.58514024565754,-3.45958378096922,0.0016336770656040778,89.66552851138948,32.338238452474236,129.44210060155402,32.36210235744035,14.322638956743035,-1.6255722185054746,3.0,0.0,1.0,0.0,-1.0,-1.0,0
10.072000000000001,84.1234138397917,-0.7838530375156421,1.8301945853477763,41.79722400718974,-3.7938683577316437,-0.07847155179062087,108.93020087842181,31.635994359685295,139.26511851919068,30.601903319479085,18.224186017501154,-1.4316286839101129,3.0,0.0,1.0,0.0,-1.0,-1.0,0
10.08,84.45160818336922,-0.816612954929754,1.8312875797680985,41.024292947189366,-4.094989676764001,0.13662430254028157,127.11708087197918,27.40816780311,149.70617957368432,28.34939023923787,21.862595901757853,-1.1973805466256868,3.0,0.0,1.0,1.0,-1.0,-1.0,0
10.088000000000001,84.77479815204192,-0.8509544459277096,1.8360105433007021,40.39874608408872,-4.292686374744449,0.5903704415754546,142.59714183896907,19.570199859847435,158.9317948580668,25.62972655250341,25.170437651363663,-0.9364765807185885,3.0,0.0,1.0,0.0,-1.0,-1.0,0
10.096,85.09415941123756,-0.8864067473712931,1.8463179756180483,39.9201573994546,-4.431537680447933,1.2884290396682778,154.72133293505178,8.732550917294468,166.08613231473873,22.517935424954263,28.088622166097423,-0.6645900147732389,3.0,0.0,1.0,0.0,-1.0,-1.0,0
10.104000000000001,85.41157308567142,-0.9221578822766314,1.863343093182704,39.67670930423254,-4.468891863167294,2.1281396955819605,163.7075290120706,-4.30702899423376,171.21996483148652,19.07362680048638,30.588698293679887,-0.3978988823395111,3.0,0.0,1.0,0.0,-1.0,-1.0,0
10.112,85.72917143111147,-0.9573979841985448,1.8876242927274702,39.69979318000664,-4.40501274023918,3.0351499430957896,170.0709142279988,-18.861052891198028,174.7425317892051,15.351152751220678,32.64729294773818,-0.15194469968779684,3.0,0.0,1.0,0.0,-1.0,-1.0,0
10.120000000000001,86.04914424904854,-0.9913497098929557,1.9188742197922093,39.99660224213457,-4.2439657118013505,3.9062408830923747,174.2674967459346,-34.41167716394253,177.09697517877981,11.408166842782038,34.244070514953904,0.05912215636301474,3.0,0.0,1.0,0.0,-1.0,-1.0,0
10.128,86.37341950560635,-1.0233622895923997,1.9560115799465367,40.534407069725596,-4.001572462430511,4.642170019290936,176.5337737770619,-50.57795151293211,178.71606089933263,7.305306591798038,35.36749060456393,0.22327047609002565,3.0,0.0,1.0,0.0,-1.0,-1.0,0
10.136000000000001,86.70344690313641,-1.0529883076742332,1.997399500280573,41.25342469125824,-3.7032522602291964,5.173490041754531,176.56361266958876,-67.06792668710595,-179.66242146942204,3.101790339929532,36.01856173500985,0.33122736601265657,3.0,0.0,1.0,0.0,-1.0,-1.0,0
10.144,87.04014720456081,-1.080012420784059,2.041118028727205,42.08753767805017,-3.3780141387282128,5.464816055829016,168.2820758159022,-83.58230601671704,-171.7359878735121,-1.1542501690611857,36.209395532815094,0.3852590939797939,3.0,0.0,1.0,0.0,-1.0,-1.0,0
