time,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,p,q,r,ctrl_thrust,z_ref
8.712,-1.7157632466681527e-18,6.322309746686917e-18,1.2683699934992068,-1.615839966141611e-18,2.1547909521552745e-18,-0.0008077613029905199,5.207152983498156e-17,7.802311431849263e-17,3.3504684323496288,-3.683761247027682e-18,-5.6261946113014934e-18,0.0029129250579347523,0.4950124538370012,1.0
8.72,-1.728429170662658e-18,6.339428934446632e-18,1.268363697394299,-1.5832404993131795e-18,2.139898469964393e-18,-0.0007870131134464513,5.032922075573564e-17,7.539551534882141e-17,3.351807148998661,-3.805038975270394e-18,-5.729921763922055e-18,0.002920626659610486,0.4950041187783413,1.0
8.728,-1.7408270018654695e-18,6.3573002321821554e-18,1.2683575632738726,-1.549728900351416e-18,2.2339122169405e-18,-0.0007667650533025787,4.794571664520892e-17,7.276735978997633e-17,3.3531491491456866,-5.203784837881244e-18,-5.7312350653894884e-18,0.002927790140980062,0.4949959627986008,1.0
8.736,-1.7529531057136395e-18,6.375854858419837e-18,1.2683515872228555,-1.515762981021252e-18,2.319328279710181e-18,-0.0007470063771368877,4.49745165127365e-17,7.014582283966257e-17,3.3544941871351095,-6.4858127978241794e-18,-5.716926938949227e-18,0.002934417684979054,0.4949879829793081,1.0
8.744,-1.7648091806804717e-18,6.393206522030752e-18,1.2683457654107382,-1.4820093708540384e-18,2.1689579513643523e-18,-0.0007277265146535887,4.270291942637882e-17,6.746219415210712e-17,3.3558420183468147,-4.9593871865980916e-18,-5.852519688572184e-18,0.002940511550673717,0.49498017640525915,1.0
8.752,-1.7763913916920944e-18,6.410305720425079e-18,1.2683400940901743,-1.4477763764528327e-18,2.1373997992908455e-18,-0.0007089150704865981,4.049299894818797e-17,6.476437557741453e-17,3.3571923992306676,-4.824698027405897e-18,-5.8835881807833e-18,0.0029460740724035063,0.4949725401669539,1.0
8.76,-1.7877010113664576e-18,6.4264040715905966e-18,1.2683345695955834,-1.4137024592954076e-18,2.0122938956897067e-18,-0.0006905618238568838,3.8858368954978396e-17,6.20293139421763e-17,3.3585450873406253,-3.569474781456311e-18,-5.964935289798799e-18,0.002951107658916288,0.49496507136390144,1.0
8.768,-1.7987382742641394e-18,6.44155823006787e-18,1.2683291883417591,-1.3796578622102024e-18,1.8942698096591557e-18,-0.000672656728031467,3.7765211045509727e-17,5.926676652238564e-17,3.3598998413684367,-2.388029137308847e-18,-6.0249672052314134e-18,0.0029556147924965784,0.49495776710646633,1.0
8.776,-1.8095024839244636e-18,6.456637783536111e-18,1.2683239468224818,-1.3455262075405118e-18,1.8849441835301447e-18,-0.0006551899096716633,3.662700503537456e-17,5.651947271650416e-17,3.3612564211769547,-2.4861707587098952e-18,-5.991743948832195e-18,0.0029595980280868886,0.4949506245182923,1.0
8.784,-1.8199940522646444e-18,6.47251424964744e-18,1.2683188416091375,-1.3114460425226068e-18,1.9845582639161498e-18,-0.0006381516680359161,3.485602228229565e-17,5.382960984526532e-17,3.362614587833024,-3.866538364309792e-18,-5.866522063168235e-18,0.0029630599924024476,0.4949436407384381,1.0
