time,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r,z_ref
0.48,5.143104879364564e-25,2.8722299649810136e-19,0.8590316980822688,-6.5345328394346326e-24,7.628213448010307e-19,0.9784506111746187,-9.134522875781451e-23,-1.027305591664746e-22,-2.7336867521501463e-07,4.24027897153408e-18,-5.1292471826489927e-23,-1.6385003904408485e-06,1.0
0.488,4.464002334614031e-25,2.9351911242231595e-19,0.8667795746200193,-8.488781809381665e-24,7.870144905268213e-19,0.9684845672188169,3.153503008427995e-20,-1.0313494553248648e-22,-2.867219788066036e-07,3.953296913957906e-18,-5.057453806835313e-23,-1.6691629489486203e-06,1.0
0.496,3.191650427745418e-25,2.999304702294559e-19,0.8744452571904925,-1.5904398835857658e-23,8.014197258924928e-19,0.9582103213091473,6.173718250135924e-20,-1.0405312995438725e-22,-3.0030923020837633e-07,3.775269051958963e-18,-1.1485225980017052e-22,-1.698406425221588e-06,1.0
0.504,3.1012022672003937e-25,3.0638409745224347e-19,0.8820265105568842,-1.1306020068128071e-24,8.067034028484468e-19,0.9476566707989698,9.132620616579786e-20,-1.0338158247053726e-22,-3.1411895593351753e-07,3.698627957875785e-18,8.381132526774536e-23,-1.7262157156426454e-06,1.0
0.512,1.4594762748955173e-25,3.130029652000478e-19,0.8895213176906133,-2.0521574903810955e-23,8.273584684755444e-19,0.9368508917161362,1.1879284631244302e-19,-1.0436449307341395e-22,-3.281395930604714e-07,3.433330018148594e-18,-1.2304795054635035e-22,-1.7525796408692292e-06,1.0
0.52,-1.6747774968435153e-27,3.197098208031528e-19,0.8969278681496563,-1.8452800623299405e-23,8.383569503881235e-19,0.925818807380382,1.4500627003501008e-19,-1.0496693180820552e-22,-3.4235951857922024e-07,3.2766779651348382e-18,-7.553929208559535e-23,-1.7774906898435992e-06,1.0
0.528,-2.9074352847406503e-26,3.273126855991733e-19,0.9042445469827921,-3.4249469188203736e-24,9.50358099502564e-19,0.9145848541419817,1.6034501306067118e-19,-1.0396421713727536e-22,-3.5676707675406983e-07,1.9173428780194975e-18,1.2506437346783489e-22,-1.8009447718561899e-06,1.0
0.536,-7.435850235982216e-26,3.349938186209859e-19,0.9114696658356765,-5.660518689051957e-24,9.601416277265794e-19,0.9031398566105425,1.7447853417770224e-19,-1.0299427728862568e-22,-3.7135060456972333e-07,1.766690139440244e-18,1.2093729929905492e-22,-1.82294097695669e-06,1.0
0.544,-1.1351122445539657e-25,3.426174859919629e-19,0.9186016057308165,-4.8940902619468e-24,9.529584213721225e-19,0.8914924868925094,1.8899479201147054e-19,-1.0177547396829199e-22,-3.8609843257502295e-07,1.8145322290322885e-18,1.520153874105142e-22,-1.843478500662447e-06,1.0
0.552,-5.996623144713054e-26,3.5106539074217914e-19,0.9256389369514384,6.693124126033253e-24,1.0559880937770298e-18,0.879666402577736,1.9342002629247975e-19,-9.928947349156972e-23,-4.009988985682046e-07,5.531542849389007e-19,3.1039392465307015e-22,-1.8625582491476989e-06,1.0
0.56,-8.249610240825426e-26,3.5939649816252866e-19,0.9325804163990178,-2.8162338701404642e-24,1.0413884275436885e-18,0.8676849309474169,1.9890426491575629e-19,-9.753851402235953e-23,-4.160403712658611e-07,6.855298277245309e-19,2.185011127065937e-22,-1.8801840872070646e-06,1.0
0.5680000000000001,-1.632169052240325e-25,3.676799520457014e-19,0.939424977577671,-1.0090100351972282e-23,1.0354317353965923e-18,0.85557014733165,2.0462195762613683e-19,-9.631502209084946e-23,-4.3121127280234033e-07,7.147115886137553e-19,1.525538754019124e-22,-1.8963626920599025e-06,1.0
0.5760000000000001,-1.877322157461572e-25,3.7591602535845654e-19,0.9461717205605138,-3.0644138152655873e-24,1.029509164094391e-18,0.8433428728553557,2.1056252705537177e-19,-9.426590088739713e-23,-4.4650009943323535e-07,7.425711784722559e-19,2.557434202061589e-22,-1.9111033288618658e-06,1.0
0.584,-3.4435763243531265e-25,3.8322488370109394e-19,0.9528199023899406,-1.9578177086144428e-23,9.136072928296745e-19,0.8310227286783538,2.271487834133927e-19,-9.362296361879536e-23,-4.6189544048231184e-07,2.073282044571829e-18,7.994598889361542e-23,-1.9244176311345527e-06,1.0
0.592,-4.6941051250964505e-25,3.9048476596754967e-19,0.9593689279224222,-1.563161000929155e-23,9.074852833069665e-19,0.8186281915602028,2.4394315610837326e-19,-9.245190643001874e-23,-4.773859956144836e-07,2.0992965866924087e-18,1.4592605636823501e-22,-1.936319391521468e-06,1.0
0.6,-6.561247057392362e-25,3.968159479089213e-19,0.9658183411008827,-2.3339274153698892e-23,7.913977426714539e-19,0.8061766473075671,2.7134730683998244e-19,-9.185526746306299e-23,-4.929605905192447e-07,3.425518841271736e-18,7.407828085579943e-23,-1.946824363095123e-06,1.0
0.608,-9.290796986742676e-25,4.023443182975692e-19,0.9721678166366537,-3.411937411687892e-23,6.910462985809905e-19,0.7936844419713764,3.0782596907156486e-19,-9.212595047851194e-23,-5.086081910884477e-07,4.559832778767864e-18,-3.440179393623215e-23,-1.9559500711503583e-06,1.0
0.616,-1.1473603044820504e-24,4.0806655000494137e-19,0.9784171520836115,-2.728507572597285e-23,7.152789634215242e-19,0.78116693086971,3.4150618156432863e-19,-9.159887723578296e-23,-5.24317916171075e-07,4.210026561415067e-18,6.524660349275944e-23,-1.963715635328404e-06,1.0
0.624,-1.3105832288622043e-24,4.1484492238868153e-19,0.9845662602877919,-2.0402865547519243e-23,8.472965479675224e-19,0.7686385255225617,3.62111592169952e-19,-9.027596911555386e-23,-5.400790489858251e-07,2.5756763255237586e-18,1.6467040170472313e-22,-1.9701416018437545e-06,1.0
0.632,-1.5168139916937066e-24,4.20712847095625e-19,0.9906151621964493,-2.5778845353937793e-23,7.334905883679321e-19,0.7561127385821754,3.9291986811941567e-19,-8.93096571797871e-23,-5.558810472705275e-07,3.851034493505586e-18,1.200433041058212e-22,-1.9752497855877983e-06,1.0
0.64,-1.7673194581508436e-24,4.266735560352543e-19,0.9965639800111659,-3.1313183307142113e-23,7.450886174536629e-19,0.7436022268395684,4.2198913375479355e-19,-8.87225641331208e-23,-5.7171355224514e-07,3.633658204246053e-18,7.258025265666044e-23,-1.979063121826563e-06,1.0
0.648,-1.970607477434987e-24,4.3359511427748496e-19,1.0024129306702443,-2.5411002410517936e-23,8.651947802788311e-19,0.7311188323848156,4.389796974035584e-19,-8.743681348963031e-23,-5.875663964627894e-07,2.123820455921052e-18,1.598657801390251e-22,-1.9816055272061755e-06,1.0
0.656,-2.0731771003112937e-24,4.404601653060248e-19,1.0081623196462093,-1.2821202859538329e-23,8.581313785674833e-19,0.7186736219956112,4.559232904589387e-19,-8.481329032570293e-23,-6.034296106203667e-07,2.1179491317518757e-18,3.270531431317308e-22,-1.982901769697291e-06,1.0
0.664,-2.1808528622488378e-24,4.473301142682273e-19,1.0138125350448166,-1.345947024219302e-23,8.587436202753079e-19,0.7062769248259028,4.72061391209902e-19,-8.211077393982606e-23,-6.192934293983387e-07,2.0172625937049122e-18,3.3689446193343674e-22,-1.9829773472465145e-06,1.0
0.672,-2.231639464139007e-24,4.550780374091447e-19,1.0193640419925252,-6.348325236271196e-24,9.684903926146775e-19,0.6939383684635834,4.770150740610683e-19,-7.860478753699974e-23,-6.35148296395926e-07,6.192103562365174e-19,4.373078327828285e-22,-1.981858374698404e-06,1.0
0.68,-2.372529437357458e-24,4.618115394925852e-19,1.024817377299912,-1.7611246652306392e-23,8.416877604300535e-19,0.681666913423364,4.932065213837676e-19,-7.602916064155414e-23,-6.509848682253473e-07,2.0239309151843633e-18,3.209930504315306e-22,-1.979571478677661e-06,1.0
0.6880000000000001,-2.54267971793757e-24,4.685386813747589e-19,1.030173144389023,-2.126878507251398e-23,8.408927352717103e-19,0.6694708861388567,5.08654637641278e-19,-7.367361741629284e-23,-6.667940178259276e-07,1.9310145320408816e-18,2.9345299234878473e-22,-1.9761437000725345e-06,1.0
0.6960000000000001,-2.7656647896424345e-24,4.752527574754248e-19,1.035432008473142,-2.7873133963108047e-23,8.392595125832441e-19,0.6573580105149022,5.234092879265079e-19,-7.182086525007275e-23,-6.82566837056465e-07,1.8443312855102886e-18,2.3057661091924e-22,-1.9716024038171787e-06,1.0
0.704,-3.099253415571131e-24,4.810675045824699e-19,1.0405946919779352,-4.169857824108705e-23,7.268433883806394e-19,0.6453354380991361,5.479484068413173e-19,-7.034761935873955e-23,-6.982946386206611e-07,3.067389864211423e-18,1.8310260508992678e-22,-1.96597519552449e-06,1.0
0.712,-3.510225418116329e-24,4.869821309994406e-19,1.0456619701933698,-5.137150031814977e-23,7.393283021213392e-19,0.6334097769293273,5.703807735094408e-19,-6.886973328538185e-23,-7.139689573785858e-07,2.804045833379055e-18,1.8364019366664216e-22,-1.9592898447405847e-06,1.0
0.72,-3.912134119754661e-24,4.937976888627349e-19,1.050634667146257,-5.023858770479156e-23,8.519447329117848e-19,0.6215871191108998,5.8116698198523395e-19,-6.717442436925259e-23,-7.295815510934329e-07,1.3482760593413827e-18,2.107899490630482e-22,-1.9515742143558673e-06,1.0
0.728,-4.374675979423373e-24,4.997460459040412e-19,1.0555136516836716,-5.781773245858898e-23,7.435446301632958e-19,0.6098730671768385,6.012422666864416e-19,-6.607511405892902e-23,-7.451244006610987e-07,2.5094105875215245e-18,1.3626516322297604e-22,-1.9428561959582404e-06,1.0
0.736,-4.900501373190323e-24,5.048159496896253e-19,1.060299833757913,-6.57281742208688e-23,6.337379731980039e-19,0.5982727592801798,6.307005431527398e-19,-6.560378416514178e-23,-7.60589709866987e-07,3.682284558159986e-18,5.772546319352033e-23,-1.9331636507360374e-06,1.0
0.744,-5.4103422197030054e-24,5.099403705227456e-19,1.0649941609040514,-6.373010581408529e-23,6.405526041400343e-19,0.5867908932672895,6.58423137168413e-19,-6.563211695476714e-23,-7.759699047119705e-07,3.4653242518329765e-18,-4.780784539583728e-24,-1.922524355622916e-06,1.0
0.752,-5.886185155042419e-24,5.151059812661937e-19,1.0695976149014772,-5.948036691742666e-23,6.457013429310146e-19,0.575431749678231,6.845137302946163e-19,-6.514236388863915e-23,-7.912576323469207e-07,3.2613241406504697e-18,5.993597994970596e-23,-1.9109659543687583e-06,1.0
0.76,-6.356363290036631e-24,5.2030016508672675e-19,1.0741112086112268,-5.877226687427648e-23,6.492729775666297e-19,0.5641992137186917,7.090679347692193e-19,-6.447036259451794e-23,-8.064457596532208e-07,3.0692755592023288e-18,8.267729328135818e-23,-1.8985159132875077e-06,1.0
